counts	number of items in equivalence class	isoforms in equivalence class
4	1	ENST00000309032
347	1	ENST00000309100
7	1	ENST00000309166
827	1	ENST00000309295
1127	1	ENST00000309318
1	1	ENST00000309328
32	1	ENST00000309366
133	1	ENST00000309422
120	1	ENST00000309602
22	1	ENST00000309880
17	1	ENST00000310109
10	1	ENST00000310128
981	1	ENST00000310137
295	1	ENST00000310442
2	1	ENST00000310473
8	1	ENST00000310513
65	1	ENST00000310571
72	1	ENST00000310597
2	1	ENST00000310653
8	1	ENST00000311172
131	1	ENST00000311181
5	1	ENST00000311320
4	1	ENST00000311330
692	1	ENST00000311413
2005	1	ENST00000311481
340	1	ENST00000311604
2	1	ENST00000311713
176	1	ENST00000311764
844	1	ENST00000311956
151	1	ENST00000312175
1	1	ENST00000312234
1527	1	ENST00000312397
2	1	ENST00000312419
51	1	ENST00000312438
5	1	ENST00000312515
13	1	ENST00000312562
1348	1	ENST00000312579
39	1	ENST00000312629
2	1	ENST00000312989
2	1	ENST00000313010
3	1	ENST00000313421
1	1	ENST00000313468
23	1	ENST00000313578
8	1	ENST00000314032
2357	1	ENST00000314133
175	1	ENST00000314134
513	1	ENST00000314138
48	1	ENST00000314222
15	1	ENST00000314282
1	1	ENST00000315204
2	1	ENST00000315422
1506	1	ENST00000316059
1	1	ENST00000316375
4	1	ENST00000316409
99	1	ENST00000316461
2	1	ENST00000316529
4	1	ENST00000316924
3	1	ENST00000317037
3	1	ENST00000317121
9	1	ENST00000317449
16	1	ENST00000317568
126	1	ENST00000317811
1	1	ENST00000317829
1	1	ENST00000317834
17	1	ENST00000317945
566	1	ENST00000318950
205	1	ENST00000319006
125	1	ENST00000319023
41	1	ENST00000319863
47	1	ENST00000320578
1433	1	ENST00000320580
89	1	ENST00000320585
156	1	ENST00000320631
1	1	ENST00000320683
2	1	ENST00000320934
2673	1	ENST00000321153
6	1	ENST00000321297
16	1	ENST00000321460
248	1	ENST00000322028
53	1	ENST00000322563
75	1	ENST00000323213
11	1	ENST00000323468
36	1	ENST00000323646
31	1	ENST00000323688
391	1	ENST00000323929
2	1	ENST00000323959
18	1	ENST00000323977
152	1	ENST00000323981
40	1	ENST00000324225
4	1	ENST00000324727
10	1	ENST00000325147
16	1	ENST00000325207
161	1	ENST00000325212
2	1	ENST00000325234
1	1	ENST00000325542
17	1	ENST00000325656
1	1	ENST00000325719
128	1	ENST00000326294
104	1	ENST00000326402
5	1	ENST00000326621
1	1	ENST00000326656
5	1	ENST00000326674
69	1	ENST00000326737
1	1	ENST00000327259
9	1	ENST00000327320
432	1	ENST00000327470
6	1	ENST00000328194
11	1	ENST00000328221
64	1	ENST00000328257
154	1	ENST00000328697
24	1	ENST00000328965
9	1	ENST00000329203
1450	1	ENST00000329251
1	1	ENST00000329293
34	1	ENST00000329451
2	1	ENST00000329773
68	1	ENST00000329819
336	1	ENST00000329957
3	1	ENST00000329962
24	1	ENST00000330106
598	1	ENST00000330574
1	1	ENST00000330796
5	1	ENST00000331079
2	1	ENST00000331239
915	1	ENST00000332118
427	1	ENST00000332349
1	1	ENST00000332539
577	1	ENST00000332826
52	1	ENST00000333449
3	1	ENST00000333861
82	1	ENST00000334211
30	1	ENST00000334418
11	1	ENST00000334636
2	1	ENST00000334801
4	1	ENST00000334805
10	1	ENST00000334888
10	1	ENST00000334944
9	1	ENST00000334956
10	1	ENST00000335099
4	1	ENST00000335185
1	1	ENST00000335397
3	1	ENST00000335475
14	1	ENST00000335613
1	1	ENST00000335953
2	1	ENST00000335987
65	1	ENST00000336083
1	1	ENST00000336139
869	1	ENST00000336349
458	1	ENST00000336615
3	1	ENST00000336702
2	1	ENST00000336898
1	1	ENST00000337131
3	1	ENST00000337672
5	1	ENST00000337979
1	1	ENST00000338369
1	1	ENST00000338832
23	1	ENST00000338965
4	1	ENST00000339764
13	1	ENST00000339865
3	1	ENST00000339994
105	1	ENST00000340067
9	1	ENST00000340353
5	1	ENST00000340573
7	1	ENST00000340729
1	1	ENST00000340882
1492	1	ENST00000341394
36	1	ENST00000341541
2	1	ENST00000341846
5	1	ENST00000341980
3	1	ENST00000342456
37	1	ENST00000342711
77	1	ENST00000342935
19	1	ENST00000343597
6	1	ENST00000343631
3	1	ENST00000344762
1	1	ENST00000345043
2	1	ENST00000345348
212	1	ENST00000345728
6	1	ENST00000345732
4	1	ENST00000345851
9	1	ENST00000346329
3	1	ENST00000347755
4	1	ENST00000347785
10	1	ENST00000347941
9	1	ENST00000348124
15	1	ENST00000349215
1	1	ENST00000349459
226	1	ENST00000350777
1249	1	ENST00000350997
103	1	ENST00000351018
10	1	ENST00000351554
25	1	ENST00000351625
1	1	ENST00000352068
1	1	ENST00000352303
31	1	ENST00000352327
12	1	ENST00000352435
49	1	ENST00000352818
4	1	ENST00000353172
896	1	ENST00000354193
1	1	ENST00000354497
14	1	ENST00000354588
17	1	ENST00000354685
40	1	ENST00000354817
7	1	ENST00000354884
2	1	ENST00000355260
53	1	ENST00000355693
1125	1	ENST00000355703
1	1	ENST00000356135
178	1	ENST00000356136
3	1	ENST00000356187
8	1	ENST00000356289
8	1	ENST00000356341
3	1	ENST00000356438
1	1	ENST00000356641
1408	1	ENST00000356786
112	1	ENST00000357519
8	1	ENST00000357590
1	1	ENST00000357685
7	1	ENST00000358239
1	1	ENST00000358524
8	1	ENST00000358681
336	1	ENST00000358752
8	1	ENST00000358780
18	1	ENST00000358794
2	1	ENST00000358867
1	1	ENST00000358872
13	1	ENST00000359005
14	1	ENST00000359461
1	1	ENST00000359513
1	1	ENST00000359614
13	1	ENST00000359902
69	1	ENST00000359957
7	1	ENST00000360025
3	1	ENST00000360194
1	1	ENST00000360374
4	1	ENST00000360655
330	1	ENST00000361050
10	1	ENST00000361236
1541	1	ENST00000361367
12	1	ENST00000361507
18	1	ENST00000361723
10	1	ENST00000361987
3	1	ENST00000362021
20	1	ENST00000366139
3	1	ENST00000366394
1	1	ENST00000367196
4	1	ENST00000374979
8	1	ENST00000375167
351	1	ENST00000375549
18	1	ENST00000376693
54	1	ENST00000376745
1	1	ENST00000376901
10	1	ENST00000376991
44	1	ENST00000377190
12	1	ENST00000377264
4	1	ENST00000377313
1	1	ENST00000377321
38	1	ENST00000377350
2	1	ENST00000377702
469	1	ENST00000377793
5	1	ENST00000377810
5	1	ENST00000377889
4	1	ENST00000377891
7	1	ENST00000377953
3258	1	ENST00000378024
9	1	ENST00000378312
160	1	ENST00000378460
8	1	ENST00000378538
7	1	ENST00000378600
1	1	ENST00000378615
5	1	ENST00000378618
4	1	ENST00000378623
28	1	ENST00000378750
2020	1	ENST00000379719
2	1	ENST00000379936
4282	1	ENST00000379965
3	1	ENST00000380027
17	1	ENST00000380034
1	1	ENST00000380184
12	1	ENST00000380259
2	1	ENST00000380367
1	1	ENST00000380525
84	1	ENST00000380542
2	1	ENST00000380996
3	1	ENST00000381036
5	1	ENST00000381153
1	1	ENST00000381514
1	1	ENST00000381519
27	1	ENST00000382409
1	1	ENST00000382614
6	1	ENST00000382671
52	1	ENST00000382743
4	1	ENST00000382762
69	1	ENST00000388857
3	1	ENST00000389547
1	1	ENST00000389568
7	1	ENST00000392210
16	1	ENST00000392594
143	1	ENST00000392668
11	1	ENST00000392679
66	1	ENST00000392708
50	1	ENST00000392789
2	1	ENST00000392883
8	1	ENST00000392951
1	1	ENST00000393020
2	1	ENST00000393055
10524	1	ENST00000393067
319	1	ENST00000393094
2	1	ENST00000393150
14	1	ENST00000393241
37	1	ENST00000393259
47	1	ENST00000393346
7	1	ENST00000393389
1	1	ENST00000393392
53	1	ENST00000393399
25	1	ENST00000393580
7	1	ENST00000393597
16	1	ENST00000393605
6	1	ENST00000393609
24	1	ENST00000393695
8	1	ENST00000393705
2	1	ENST00000393707
9	1	ENST00000393711
5	1	ENST00000393952
35	1	ENST00000393979
29	1	ENST00000394065
20	1	ENST00000394224
15	1	ENST00000394430
1	1	ENST00000394531
2	1	ENST00000394532
7	1	ENST00000394547
3	1	ENST00000394690
17	1	ENST00000394773
105	1	ENST00000394818
9	1	ENST00000394888
288	1	ENST00000394900
27	1	ENST00000395074
2	1	ENST00000395123
22	1	ENST00000395124
1	1	ENST00000395292
10	1	ENST00000395460
1	1	ENST00000395549
1	1	ENST00000395566
4	1	ENST00000395700
265	1	ENST00000395787
45	1	ENST00000395850
17	1	ENST00000395934
1	1	ENST00000395949
298	1	ENST00000396053
1	1	ENST00000396166
178	1	ENST00000396197
33	1	ENST00000396222
4	1	ENST00000396253
144	1	ENST00000396394
36	1	ENST00000396525
1	1	ENST00000396553
8	1	ENST00000396554
19	1	ENST00000396602
2	1	ENST00000396604
9	1	ENST00000396751
35	1	ENST00000396847
4	1	ENST00000396978
1	1	ENST00000397004
1	1	ENST00000397013
12	1	ENST00000397111
2	1	ENST00000397408
10	1	ENST00000397420
1	1	ENST00000397582
4	1	ENST00000397583
1	1	ENST00000397596
1	1	ENST00000397614
19	1	ENST00000397615
1	1	ENST00000397660
1	1	ENST00000397801
19	1	ENST00000397843
18	1	ENST00000398006
3	1	ENST00000398035
80	1	ENST00000398136
2	1	ENST00000398531
1	1	ENST00000398534
59	1	ENST00000398603
6	1	ENST00000398645
7	1	ENST00000398846
1013	1	ENST00000398868
1	1	ENST00000398979
22	1	ENST00000399455
78	1	ENST00000399817
5	1	ENST00000400925
3	1	ENST00000402157
1	1	ENST00000402185
11	1	ENST00000402192
1	1	ENST00000402789
2	1	ENST00000403482
2	1	ENST00000403550
34	1	ENST00000403734
184	1	ENST00000403796
16	1	ENST00000404147
1	1	ENST00000405308
2	1	ENST00000405515
5	1	ENST00000405573
1	1	ENST00000405633
14	1	ENST00000405666
1	1	ENST00000406638
2	1	ENST00000406787
4	1	ENST00000407067
17	1	ENST00000407439
1	1	ENST00000407721
5	1	ENST00000408993
16	1	ENST00000409109
3	1	ENST00000409263
22	1	ENST00000409372
3	1	ENST00000409406
103	1	ENST00000409418
37	1	ENST00000409479
43	1	ENST00000409548
18	1	ENST00000409655
2	1	ENST00000409738
1	1	ENST00000409853
2	1	ENST00000409991
1	1	ENST00000409993
72	1	ENST00000410108
6	1	ENST00000411482
17	1	ENST00000411840
1	1	ENST00000412278
9	1	ENST00000412681
1	1	ENST00000413184
8	1	ENST00000413553
5	1	ENST00000413872
1	1	ENST00000414370
3	1	ENST00000414546
1	1	ENST00000414641
1	1	ENST00000414897
6	1	ENST00000415318
4	1	ENST00000415826
2	1	ENST00000415855
3	1	ENST00000417440
13	1	ENST00000417453
1	1	ENST00000417545
9	1	ENST00000418153
6	1	ENST00000418259
107	1	ENST00000418331
5	1	ENST00000418561
1	1	ENST00000418754
8	1	ENST00000418988
1	1	ENST00000419189
8	1	ENST00000419197
5	1	ENST00000419348
1	1	ENST00000419755
5	1	ENST00000419822
2	1	ENST00000420244
12	1	ENST00000420247
304	1	ENST00000420843
6	1	ENST00000420869
15	1	ENST00000420986
6	1	ENST00000421355
1	1	ENST00000421419
1	1	ENST00000421485
5	1	ENST00000421510
3	1	ENST00000421673
1	1	ENST00000421879
2	1	ENST00000422375
145	1	ENST00000422447
4	1	ENST00000422465
1	1	ENST00000422974
1	1	ENST00000423494
1	1	ENST00000423662
2	1	ENST00000424501
5	1	ENST00000424945
6	1	ENST00000425380
81	1	ENST00000425428
1	1	ENST00000425490
3	1	ENST00000425791
5	1	ENST00000425825
10	1	ENST00000426086
6	1	ENST00000426130
25	1	ENST00000426650
4	1	ENST00000426933
3	1	ENST00000427752
29	1	ENST00000428149
67	1	ENST00000428192
10	1	ENST00000428347
41	1	ENST00000428830
20	1	ENST00000429220
6	1	ENST00000429295
1	1	ENST00000429322
4	1	ENST00000429541
2	1	ENST00000429686
10	1	ENST00000429789
7	1	ENST00000429801
9	1	ENST00000429814
1	1	ENST00000430070
6	1	ENST00000430466
3	1	ENST00000430469
1019	1	ENST00000430553
10	1	ENST00000430811
65	1	ENST00000431002
10	1	ENST00000431081
7	1	ENST00000431400
27	1	ENST00000431606
3	1	ENST00000431736
19	1	ENST00000431742
18	1	ENST00000431778
6	1	ENST00000431973
2	1	ENST00000432043
2	1	ENST00000432063
1	1	ENST00000432093
3	1	ENST00000433060
2	1	ENST00000433274
146	1	ENST00000433688
5	1	ENST00000433818
10	1	ENST00000433890
6	1	ENST00000433961
12	1	ENST00000434101
10	1	ENST00000434372
24	1	ENST00000434472
3	1	ENST00000434758
6	1	ENST00000434945
280	1	ENST00000435224
1	1	ENST00000435477
1	1	ENST00000435507
2	1	ENST00000435795
1	1	ENST00000436108
13	1	ENST00000436757
11	1	ENST00000436863
2	1	ENST00000437814
6	1	ENST00000438015
1	1	ENST00000438262
2	1	ENST00000438576
9	1	ENST00000438658
17	1	ENST00000438862
18	1	ENST00000438980
1	1	ENST00000439069
51	1	ENST00000439561
2	1	ENST00000439994
9	1	ENST00000440289
7	1	ENST00000440460
18	1	ENST00000441174
7	1	ENST00000441250
3	1	ENST00000441853
33	1	ENST00000442151
1	1	ENST00000442398
2	1	ENST00000442528
2	1	ENST00000442938
2	1	ENST00000443524
1	1	ENST00000443908
15	1	ENST00000443940
5	1	ENST00000444303
5	1	ENST00000444566
1	1	ENST00000444739
14	1	ENST00000444935
1	1	ENST00000445177
1	1	ENST00000445202
2	1	ENST00000445445
33	1	ENST00000445560
2	1	ENST00000445632
44	1	ENST00000446113
4	1	ENST00000446230
1	1	ENST00000446921
2	1	ENST00000447186
9	1	ENST00000447399
11	1	ENST00000447869
187	1	ENST00000448108
12	1	ENST00000448404
7	1	ENST00000448418
15	1	ENST00000448775
4	1	ENST00000448838
1	1	ENST00000448981
27	1	ENST00000449131
6	1	ENST00000449319
40	1	ENST00000449430
1	1	ENST00000449465
11	1	ENST00000449692
1	1	ENST00000449942
1	1	ENST00000450171
17	1	ENST00000450670
12	1	ENST00000451389
1	1	ENST00000451616
13	1	ENST00000452374
1	1	ENST00000452383
1	1	ENST00000452508
19	1	ENST00000453089
23	1	ENST00000453096
8	1	ENST00000453471
3	1	ENST00000453524
2	1	ENST00000453788
5	1	ENST00000453848
24	1	ENST00000454345
22	1	ENST00000454584
3	1	ENST00000454668
11	1	ENST00000454828
1	1	ENST00000454954
1	1	ENST00000454962
8	1	ENST00000455220
6	1	ENST00000455638
2	1	ENST00000455725
1	1	ENST00000455971
27	1	ENST00000457199
10	1	ENST00000457514
4	1	ENST00000459679
15	1	ENST00000460649
11	1	ENST00000462734
1	1	ENST00000464224
2	1	ENST00000464784
1	1	ENST00000465307
6	1	ENST00000465313
247	1	ENST00000465995
2	1	ENST00000466716
3	1	ENST00000467728
5	1	ENST00000468670
7	1	ENST00000471387
10	1	ENST00000472545
5	1	ENST00000473263
6	1	ENST00000475757
1	1	ENST00000478537
2	1	ENST00000478970
14	1	ENST00000479770
44	1	ENST00000480887
5	1	ENST00000481687
2	1	ENST00000481889
43	1	ENST00000483858
5	1	ENST00000484814
14	1	ENST00000485682
3	1	ENST00000486437
12	1	ENST00000486867
4	1	ENST00000488598
16	1	ENST00000488769
1	1	ENST00000489525
10	1	ENST00000490820
2	1	ENST00000491231
2	1	ENST00000492141
30	1	ENST00000492685
1	1	ENST00000493525
2	1	ENST00000493547
8	1	ENST00000494448
4	1	ENST00000495996
59	1	ENST00000496634
4	1	ENST00000496746
3	1	ENST00000497094
21	1	ENST00000497194
21	1	ENST00000498765
18	1	ENST00000502597
1	1	ENST00000504441
7	1	ENST00000506119
9	1	ENST00000506523
2	1	ENST00000507320
2	1	ENST00000508278
51	1	ENST00000509359
22	1	ENST00000510915
18	1	ENST00000511455
8	1	ENST00000511927
5	1	ENST00000514226
2	1	ENST00000515828
1	1	ENST00000517312
3	1	ENST00000517839
27	1	ENST00000521849
4	1	ENST00000522056
3	1	ENST00000524388
3	1	ENST00000524392
3	1	ENST00000524401
25	1	ENST00000524416
4	1	ENST00000524426
6	1	ENST00000524439
9	1	ENST00000524455
8	1	ENST00000524466
44	1	ENST00000524486
1	1	ENST00000524490
1539	1	ENST00000524496
1	1	ENST00000524506
1	1	ENST00000524509
3	1	ENST00000524543
131	1	ENST00000524552
2	1	ENST00000524553
3	1	ENST00000524555
18	1	ENST00000524558
1	1	ENST00000524559
3	1	ENST00000524564
1	1	ENST00000524567
1	1	ENST00000524590
2	1	ENST00000524595
7	1	ENST00000524608
4	1	ENST00000524647
1	1	ENST00000524655
4	1	ENST00000524669
4	1	ENST00000524671
5	1	ENST00000524678
3	1	ENST00000524704
1	1	ENST00000524711
449	1	ENST00000524717
2	1	ENST00000524723
8	1	ENST00000524726
3	1	ENST00000524737
6	1	ENST00000524742
2	1	ENST00000524748
33	1	ENST00000524750
15	1	ENST00000524752
19	1	ENST00000524753
1	1	ENST00000524755
8	1	ENST00000524765
3	1	ENST00000524773
4	1	ENST00000524775
3	1	ENST00000524784
3	1	ENST00000524790
1	1	ENST00000524794
36	1	ENST00000524803
6	1	ENST00000524810
4	1	ENST00000524815
1	1	ENST00000524820
10	1	ENST00000524827
1	1	ENST00000524842
1	1	ENST00000524848
12	1	ENST00000524854
2	1	ENST00000524863
1	1	ENST00000524875
1	1	ENST00000524901
18	1	ENST00000524902
1	1	ENST00000524904
43	1	ENST00000524928
3	1	ENST00000524931
10	1	ENST00000524932
3	1	ENST00000524934
10	1	ENST00000524944
2	1	ENST00000524952
20	1	ENST00000524958
16	1	ENST00000524968
14	1	ENST00000524972
17	1	ENST00000524984
1	1	ENST00000524991
2	1	ENST00000525018
2	1	ENST00000525029
2	1	ENST00000525034
1	1	ENST00000525035
63	1	ENST00000525064
6	1	ENST00000525069
6	1	ENST00000525071
6	1	ENST00000525077
25	1	ENST00000525079
3	1	ENST00000525080
89	1	ENST00000525085
1	1	ENST00000525118
3	1	ENST00000525137
9	1	ENST00000525155
22	1	ENST00000525158
1	1	ENST00000525162
10	1	ENST00000525183
1	1	ENST00000525192
2	1	ENST00000525199
36	1	ENST00000525200
11	1	ENST00000525205
7	1	ENST00000525210
2	1	ENST00000525229
4	1	ENST00000525235
9	1	ENST00000525243
1	1	ENST00000525297
1	1	ENST00000525313
3	1	ENST00000525314
6	1	ENST00000525317
26	1	ENST00000525341
2	1	ENST00000525356
5	1	ENST00000525361
4	1	ENST00000525364
5	1	ENST00000525403
1	1	ENST00000525405
1	1	ENST00000525409
3	1	ENST00000525421
2	1	ENST00000525422
70	1	ENST00000525428
3	1	ENST00000525451
1	1	ENST00000525463
2	1	ENST00000525488
6	1	ENST00000525501
5	1	ENST00000525502
2	1	ENST00000525511
4	1	ENST00000525587
39	1	ENST00000525593
19	1	ENST00000525624
4	1	ENST00000525628
13	1	ENST00000525631
4304	1	ENST00000525634
5	1	ENST00000525660
1	1	ENST00000525665
4	1	ENST00000525676
10	1	ENST00000525681
84	1	ENST00000525684
2	1	ENST00000525688
1	1	ENST00000525690
5	1	ENST00000525693
5	1	ENST00000525701
1	1	ENST00000525729
8	1	ENST00000525754
1	1	ENST00000525755
1	1	ENST00000525763
1	1	ENST00000525768
6	1	ENST00000525776
2	1	ENST00000525801
1	1	ENST00000525836
3	1	ENST00000525842
1	1	ENST00000525863
3	1	ENST00000525876
11	1	ENST00000525896
1	1	ENST00000525920
33	1	ENST00000525924
18	1	ENST00000525933
2	1	ENST00000525955
11	1	ENST00000525981
3	1	ENST00000526000
5	1	ENST00000526009
92	1	ENST00000526015
15	1	ENST00000526020
10	1	ENST00000526025
3	1	ENST00000526026
1	1	ENST00000526033
15	1	ENST00000526042
2	1	ENST00000526060
3	1	ENST00000526063
1	1	ENST00000526068
42	1	ENST00000526072
1	1	ENST00000526090
205	1	ENST00000526104
5	1	ENST00000526115
8	1	ENST00000526137
9	1	ENST00000526145
1	1	ENST00000526164
2	1	ENST00000526170
6	1	ENST00000526177
2	1	ENST00000526242
6	1	ENST00000526248
2	1	ENST00000526252
1	1	ENST00000526260
6	1	ENST00000526261
4	1	ENST00000526262
1	1	ENST00000526265
113	1	ENST00000526267
3	1	ENST00000526280
6	1	ENST00000526293
2	1	ENST00000526325
11	1	ENST00000526335
1	1	ENST00000526337
1	1	ENST00000526342
1	1	ENST00000526360
41	1	ENST00000526361
1	1	ENST00000526387
1	1	ENST00000526394
1	1	ENST00000526395
2	1	ENST00000526415
78	1	ENST00000526421
18	1	ENST00000526425
3	1	ENST00000526432
4	1	ENST00000526433
5	1	ENST00000526439
7	1	ENST00000526451
19	1	ENST00000526463
2	1	ENST00000526492
4	1	ENST00000526501
