counts	number of items in equivalence class	isoforms in equivalence class
1	3	ENST00000392669,ENST00000444328,ENST00000526727
3	3	ENST00000392678,ENST00000392680,ENST00000488598
89	3	ENST00000392679,ENST00000392680,ENST00000479770
4	3	ENST00000392834,ENST00000682232,ENST00000684255
1	3	ENST00000392937,ENST00000510915,ENST00000680681
3	3	ENST00000393020,ENST00000455306,ENST00000464224
1	3	ENST00000393020,ENST00000464224,ENST00000524580
35	3	ENST00000393094,ENST00000531427,ENST00000532064
3	3	ENST00000393094,ENST00000531427,ENST00000532782
2	3	ENST00000393100,ENST00000428149,ENST00000429370
299	3	ENST00000393150,ENST00000417440,ENST00000444739
16	3	ENST00000393150,ENST00000444739,ENST00000533252
44	3	ENST00000393259,ENST00000526015,ENST00000540232
2	3	ENST00000393324,ENST00000524826,ENST00000543262
310	3	ENST00000393346,ENST00000526033,ENST00000532317
4	3	ENST00000393389,ENST00000528722,ENST00000533342
9	3	ENST00000393427,ENST00000526164,ENST00000630098
41	3	ENST00000393800,ENST00000393801,ENST00000534534
1	3	ENST00000394224,ENST00000527525,ENST00000533361
2721	3	ENST00000394224,ENST00000527525,ENST00000534313
2	3	ENST00000394546,ENST00000539325,ENST00000541278
1	3	ENST00000394776,ENST00000494176,ENST00000529309
14	3	ENST00000394807,ENST00000527994,ENST00000673933
1	3	ENST00000394807,ENST00000530112,ENST00000673933
33	3	ENST00000394900,ENST00000524968,ENST00000532173
102	3	ENST00000394900,ENST00000529479,ENST00000532173
108	3	ENST00000394900,ENST00000529479,ENST00000534084
227	3	ENST00000395074,ENST00000528489,ENST00000528954
2	3	ENST00000395074,ENST00000528489,ENST00000530561
618	3	ENST00000395074,ENST00000528954,ENST00000530561
10	3	ENST00000395124,ENST00000533051,ENST00000533524
408	3	ENST00000395290,ENST00000531165,ENST00000687097
2	3	ENST00000395850,ENST00000415002,ENST00000652678
11	3	ENST00000396197,ENST00000535484,ENST00000543987
5	3	ENST00000396222,ENST00000430553,ENST00000545467
865	3	ENST00000396394,ENST00000418988,ENST00000530457
69	3	ENST00000396553,ENST00000396554,ENST00000444303
6	3	ENST00000396553,ENST00000524866,ENST00000529834
3	3	ENST00000396648,ENST00000525005,ENST00000529876
25	3	ENST00000396777,ENST00000525235,ENST00000614314
5	3	ENST00000396991,ENST00000528216,ENST00000532017
1	3	ENST00000396993,ENST00000464229,ENST00000490830
15	3	ENST00000397510,ENST00000397512,ENST00000526170
31	3	ENST00000397510,ENST00000397512,ENST00000608174
11	3	ENST00000397566,ENST00000397570,ENST00000647801
3	3	ENST00000397582,ENST00000397583,ENST00000454668
40	3	ENST00000397582,ENST00000414138,ENST00000431809
11	3	ENST00000397594,ENST00000417302,ENST00000493230
9	3	ENST00000397596,ENST00000417302,ENST00000451590
1	3	ENST00000397614,ENST00000397615,ENST00000527485
11	3	ENST00000397801,ENST00000538940,ENST00000543966
14	3	ENST00000398483,ENST00000411840,ENST00000535277
3	3	ENST00000398483,ENST00000544140,ENST00000544819
2082	3	ENST00000398603,ENST00000398606,ENST00000498765
1150	3	ENST00000398603,ENST00000398606,ENST00000646888
2625	3	ENST00000398606,ENST00000498765,ENST00000646888
552	3	ENST00000398645,ENST00000529006,ENST00000530342
3	3	ENST00000398802,ENST00000527174,ENST00000530936
10	3	ENST00000398846,ENST00000652489,ENST00000674184
44	3	ENST00000398868,ENST00000538786,ENST00000540699
2	3	ENST00000399249,ENST00000544791,ENST00000545968
196	3	ENST00000399302,ENST00000524678,ENST00000650167
16	3	ENST00000399302,ENST00000527250,ENST00000650167
2	3	ENST00000399602,ENST00000528410,ENST00000620374
55	3	ENST00000399808,ENST00000526811,ENST00000602735
3	3	ENST00000399808,ENST00000680209,ENST00000681304
10	3	ENST00000399817,ENST00000616316,ENST00000680197
47	3	ENST00000401547,ENST00000402185,ENST00000405515
9	3	ENST00000401547,ENST00000402789,ENST00000405515
40	3	ENST00000402157,ENST00000530502,ENST00000646038
18	3	ENST00000402157,ENST00000531498,ENST00000646038
4	3	ENST00000402185,ENST00000402789,ENST00000405515
2	3	ENST00000403099,ENST00000406787,ENST00000451385
10	3	ENST00000404792,ENST00000497194,ENST00000534583
4	3	ENST00000405633,ENST00000429322,ENST00000528170
3	3	ENST00000405837,ENST00000531524,ENST00000679883
9	3	ENST00000406787,ENST00000407364,ENST00000451385
26	3	ENST00000408993,ENST00000530235,ENST00000532968
19	3	ENST00000409314,ENST00000409418,ENST00000458644
3	3	ENST00000409404,ENST00000525166,ENST00000533797
287	3	ENST00000409479,ENST00000409548,ENST00000409655
13	3	ENST00000409479,ENST00000409548,ENST00000482937
1	3	ENST00000411829,ENST00000524486,ENST00000525028
45	3	ENST00000413761,ENST00000432999,ENST00000526020
15	3	ENST00000413761,ENST00000528289,ENST00000534690
1	3	ENST00000414373,ENST00000682791,ENST00000684499
4	3	ENST00000414822,ENST00000430149,ENST00000440480
5	3	ENST00000415148,ENST00000428726,ENST00000524922
3	3	ENST00000415148,ENST00000428726,ENST00000528455
14	3	ENST00000415148,ENST00000428726,ENST00000528672
9	3	ENST00000415148,ENST00000428726,ENST00000531110
6	3	ENST00000415148,ENST00000525688,ENST00000533222
3	3	ENST00000416495,ENST00000536441,ENST00000634898
9	3	ENST00000417302,ENST00000462734,ENST00000493230
1	3	ENST00000417377,ENST00000643122,ENST00000650601
78	3	ENST00000418153,ENST00000676320,ENST00000693049
10	3	ENST00000418331,ENST00000440289,ENST00000527952
3	3	ENST00000418331,ENST00000440289,ENST00000534219
3	3	ENST00000419197,ENST00000527958,ENST00000529887
2	3	ENST00000419197,ENST00000529887,ENST00000530272
86	3	ENST00000419348,ENST00000451739,ENST00000531058
60	3	ENST00000420244,ENST00000528737,ENST00000533703
4	3	ENST00000422559,ENST00000454443,ENST00000687296
2	3	ENST00000422652,ENST00000436147,ENST00000527995
1	3	ENST00000423813,ENST00000445086,ENST00000614314
1	3	ENST00000424001,ENST00000531107,ENST00000558540
3	3	ENST00000426130,ENST00000536915,ENST00000539128
3	3	ENST00000426130,ENST00000542946,ENST00000689076
47	3	ENST00000426335,ENST00000524782,ENST00000525398
606	3	ENST00000426335,ENST00000524782,ENST00000627920
5	3	ENST00000426650,ENST00000642928,ENST00000652086
5	3	ENST00000427383,ENST00000438015,ENST00000525396
36	3	ENST00000428192,ENST00000535715,ENST00000538426
51	3	ENST00000428192,ENST00000535715,ENST00000541478
1	3	ENST00000430170,ENST00000524993,ENST00000526090
9	3	ENST00000431002,ENST00000531323,ENST00000532208
6	3	ENST00000431206,ENST00000529372,ENST00000532097
6	3	ENST00000431742,ENST00000438862,ENST00000524556
1	3	ENST00000433818,ENST00000527522,ENST00000534064
257	3	ENST00000433818,ENST00000529807,ENST00000534064
350	3	ENST00000433818,ENST00000534064,ENST00000535943
1	3	ENST00000433932,ENST00000473263,ENST00000544696
3	3	ENST00000436863,ENST00000526568,ENST00000527979
55	3	ENST00000436863,ENST00000528974,ENST00000533400
7	3	ENST00000437212,ENST00000534111,ENST00000616579
3	3	ENST00000437826,ENST00000535990,ENST00000642288
138	3	ENST00000438015,ENST00000532449,ENST00000534070
1	3	ENST00000438262,ENST00000528218,ENST00000618467
34	3	ENST00000438375,ENST00000527524,ENST00000638419
527	3	ENST00000438576,ENST00000449692,ENST00000530188
1	3	ENST00000440460,ENST00000614104,ENST00000615255
1	3	ENST00000441174,ENST00000530731,ENST00000531667
1	3	ENST00000442944,ENST00000545621,ENST00000652429
224	3	ENST00000443527,ENST00000616080,ENST00000616623
2	3	ENST00000446369,ENST00000526568,ENST00000534497
9	3	ENST00000446488,ENST00000524746,ENST00000682444
17	3	ENST00000446488,ENST00000524794,ENST00000682444
5	3	ENST00000446488,ENST00000531755,ENST00000682444
10	3	ENST00000448187,ENST00000455338,ENST00000529361
4	3	ENST00000449319,ENST00000526433,ENST00000530349
1	3	ENST00000450171,ENST00000635736,ENST00000638157
19	3	ENST00000450448,ENST00000525077,ENST00000528542
1	3	ENST00000451739,ENST00000531058,ENST00000532081
1	3	ENST00000456247,ENST00000527911,ENST00000533376
1	3	ENST00000459679,ENST00000464261,ENST00000490830
8	3	ENST00000464224,ENST00000483239,ENST00000529221
4	3	ENST00000464784,ENST00000526072,ENST00000527343
1	3	ENST00000465995,ENST00000526042,ENST00000527731
20	3	ENST00000469048,ENST00000532788,ENST00000533182
330	3	ENST00000490820,ENST00000525639,ENST00000527447
122	3	ENST00000490820,ENST00000527447,ENST00000682836
31	3	ENST00000492685,ENST00000526115,ENST00000620138
1	3	ENST00000494448,ENST00000525801,ENST00000534093
252	3	ENST00000504148,ENST00000509359,ENST00000541231
7	3	ENST00000507563,ENST00000688279,ENST00000689882
5	3	ENST00000509502,ENST00000512060,ENST00000677688
1	3	ENST00000511927,ENST00000634992,ENST00000635674
2	3	ENST00000524373,ENST00000527271,ENST00000532407
17	3	ENST00000524463,ENST00000528020,ENST00000679032
12	3	ENST00000524486,ENST00000525028,ENST00000534649
13	3	ENST00000524625,ENST00000529655,ENST00000530500
9	3	ENST00000524625,ENST00000578626,ENST00000683050
1	3	ENST00000524625,ENST00000581416,ENST00000683050
10	3	ENST00000524635,ENST00000527633,ENST00000534141
4	3	ENST00000524711,ENST00000524896,ENST00000525782
324	3	ENST00000524711,ENST00000525782,ENST00000531921
22	3	ENST00000524711,ENST00000531120,ENST00000531921
1	3	ENST00000524726,ENST00000531148,ENST00000683345
2	3	ENST00000524755,ENST00000527531,ENST00000615746
1	3	ENST00000524763,ENST00000527199,ENST00000614442
2	3	ENST00000524766,ENST00000527522,ENST00000534408
1	3	ENST00000524767,ENST00000525038,ENST00000533248
44	3	ENST00000524782,ENST00000525314,ENST00000530596
1	3	ENST00000524794,ENST00000530278,ENST00000531755
180	3	ENST00000524896,ENST00000526267,ENST00000531120
48	3	ENST00000524958,ENST00000525675,ENST00000528405
2	3	ENST00000524984,ENST00000528615,ENST00000532868
10	3	ENST00000525035,ENST00000529403,ENST00000533602
145	3	ENST00000525064,ENST00000525428,ENST00000528364
23	3	ENST00000525069,ENST00000530136,ENST00000534025
19	3	ENST00000525071,ENST00000525815,ENST00000532513
7	3	ENST00000525071,ENST00000525815,ENST00000533664
1	3	ENST00000525108,ENST00000528120,ENST00000529708
2	3	ENST00000525117,ENST00000532548,ENST00000534301
8	3	ENST00000525123,ENST00000528244,ENST00000528609
5	3	ENST00000525123,ENST00000528244,ENST00000532595
2	3	ENST00000525144,ENST00000525704,ENST00000529097
1	3	ENST00000525169,ENST00000526126,ENST00000530938
5	3	ENST00000525192,ENST00000528674,ENST00000529030
2	3	ENST00000525239,ENST00000525752,ENST00000538098
3	3	ENST00000525239,ENST00000529106,ENST00000538098
3	3	ENST00000525295,ENST00000527057,ENST00000528239
6	3	ENST00000525338,ENST00000533050,ENST00000627851
3	3	ENST00000525419,ENST00000526339,ENST00000531228
3	3	ENST00000525420,ENST00000529281,ENST00000531543
1	3	ENST00000525428,ENST00000527133,ENST00000532069
1	3	ENST00000525449,ENST00000525908,ENST00000540737
10	3	ENST00000525455,ENST00000531944,ENST00000531996
67	3	ENST00000525503,ENST00000528149,ENST00000529611
2	3	ENST00000525841,ENST00000526419,ENST00000530151
233	3	ENST00000525842,ENST00000527478,ENST00000529982
1	3	ENST00000525908,ENST00000527634,ENST00000540737
1042	3	ENST00000526070,ENST00000534980,ENST00000620157
43	3	ENST00000526104,ENST00000527696,ENST00000527728
1	3	ENST00000526115,ENST00000530064,ENST00000534372
2	3	ENST00000526120,ENST00000530527,ENST00000646648
2	3	ENST00000526164,ENST00000527134,ENST00000529666
2	3	ENST00000526216,ENST00000610738,ENST00000614153
1	3	ENST00000526361,ENST00000530257,ENST00000532972
6	3	ENST00000526425,ENST00000528910,ENST00000529308
15	3	ENST00000526425,ENST00000529308,ENST00000530546
11	3	ENST00000526516,ENST00000530139,ENST00000532802
1	3	ENST00000526640,ENST00000529548,ENST00000534180
2	3	ENST00000526711,ENST00000532063,ENST00000537806
5	3	ENST00000526793,ENST00000531482,ENST00000531837
48	3	ENST00000526793,ENST00000531837,ENST00000534815
1	3	ENST00000526823,ENST00000530950,ENST00000649856
4	3	ENST00000526876,ENST00000527333,ENST00000529230
8	3	ENST00000526982,ENST00000527468,ENST00000527696
1	3	ENST00000526982,ENST00000527468,ENST00000530889
1	3	ENST00000527003,ENST00000528099,ENST00000530279
14	3	ENST00000527025,ENST00000529312,ENST00000529611
9	3	ENST00000527038,ENST00000612687,ENST00000617285
6	3	ENST00000527051,ENST00000530462,ENST00000533544
9	3	ENST00000527146,ENST00000679765,ENST00000681577
6	3	ENST00000527348,ENST00000530204,ENST00000533166
2	3	ENST00000527494,ENST00000528200,ENST00000532265
13	3	ENST00000527576,ENST00000527779,ENST00000529294
6	3	ENST00000527580,ENST00000529010,ENST00000533773
2	3	ENST00000527633,ENST00000533276,ENST00000534141
350	3	ENST00000527633,ENST00000533486,ENST00000612684
5893	3	ENST00000527673,ENST00000527791,ENST00000532567
1	3	ENST00000527734,ENST00000529351,ENST00000531514
21	3	ENST00000527767,ENST00000527786,ENST00000534087
2	3	ENST00000527795,ENST00000530048,ENST00000533904
7	3	ENST00000527805,ENST00000675595,ENST00000675843
1	3	ENST00000527820,ENST00000529721,ENST00000532435
1	3	ENST00000527869,ENST00000531904,ENST00000649666
9	3	ENST00000527944,ENST00000530396,ENST00000690149
6	3	ENST00000528070,ENST00000528097,ENST00000530440
5	3	ENST00000528187,ENST00000529113,ENST00000533524
4	3	ENST00000528187,ENST00000529896,ENST00000533524
1	3	ENST00000528187,ENST00000533051,ENST00000533524
5	3	ENST00000528219,ENST00000530562,ENST00000531852
1	3	ENST00000528288,ENST00000540113,ENST00000617482
2	3	ENST00000528306,ENST00000530393,ENST00000533463
122	3	ENST00000528313,ENST00000532073,ENST00000674194
1	3	ENST00000528498,ENST00000530749,ENST00000645527
40	3	ENST00000528513,ENST00000672037,ENST00000673097
19	3	ENST00000528724,ENST00000531909,ENST00000682305
35	3	ENST00000528798,ENST00000531074,ENST00000534355
6	3	ENST00000528910,ENST00000529308,ENST00000530267
1	3	ENST00000528910,ENST00000529308,ENST00000530546
1	3	ENST00000528968,ENST00000531291,ENST00000534372
9	3	ENST00000529055,ENST00000530067,ENST00000532837
43	3	ENST00000529281,ENST00000529294,ENST00000531571
5	3	ENST00000529313,ENST00000530527,ENST00000533738
2	3	ENST00000529313,ENST00000530964,ENST00000533738
1	3	ENST00000529319,ENST00000532225,ENST00000682444
5	3	ENST00000529351,ENST00000531214,ENST00000678030
9	3	ENST00000529554,ENST00000530316,ENST00000532278
16	3	ENST00000529731,ENST00000533050,ENST00000627851
1	3	ENST00000529750,ENST00000635736,ENST00000646146
1	3	ENST00000529807,ENST00000534064,ENST00000534408
1	3	ENST00000529852,ENST00000532204,ENST00000649666
61	3	ENST00000529852,ENST00000649464,ENST00000649666
200	3	ENST00000530131,ENST00000544551,ENST00000645495
9	3	ENST00000530266,ENST00000532081,ENST00000532505
2	3	ENST00000530284,ENST00000533603,ENST00000649490
23	3	ENST00000530457,ENST00000532256,ENST00000533068
12	3	ENST00000530460,ENST00000607673,ENST00000663165
1	3	ENST00000530460,ENST00000662483,ENST00000663165
1	3	ENST00000530467,ENST00000610597,ENST00000621959
4	3	ENST00000530527,ENST00000533773,ENST00000646648
35	3	ENST00000530609,ENST00000532378,ENST00000534686
74	3	ENST00000530809,ENST00000614944,ENST00000621676
3	3	ENST00000530875,ENST00000531709,ENST00000532297
1	3	ENST00000531066,ENST00000636090,ENST00000637162
1	3	ENST00000531348,ENST00000533500,ENST00000683307
3	3	ENST00000531380,ENST00000532234,ENST00000533902
8	3	ENST00000531688,ENST00000679765,ENST00000681577
178	3	ENST00000531863,ENST00000532677,ENST00000541961
1	3	ENST00000531909,ENST00000533273,ENST00000682305
7	3	ENST00000532265,ENST00000532546,ENST00000533241
10	3	ENST00000532449,ENST00000534070,ENST00000534685
1	3	ENST00000532620,ENST00000534740,ENST00000608857
8	3	ENST00000532883,ENST00000676320,ENST00000690620
2	3	ENST00000532947,ENST00000634627,ENST00000634973
206	3	ENST00000533141,ENST00000616316,ENST00000680197
7	3	ENST00000533341,ENST00000635736,ENST00000640939
10	3	ENST00000533403,ENST00000643183,ENST00000652086
4	3	ENST00000533626,ENST00000651655,ENST00000677121
4	3	ENST00000533727,ENST00000534300,ENST00000683756
1	3	ENST00000534532,ENST00000685324,ENST00000688263
13	3	ENST00000534548,ENST00000688672,ENST00000691025
2	3	ENST00000534911,ENST00000540349,ENST00000544253
9	3	ENST00000535054,ENST00000537947,ENST00000545082
1	3	ENST00000535111,ENST00000537217,ENST00000541719
3	3	ENST00000535234,ENST00000538393,ENST00000543587
1	3	ENST00000535296,ENST00000680002,ENST00000680729
5	3	ENST00000535297,ENST00000541893,ENST00000545210
4	3	ENST00000535830,ENST00000538973,ENST00000541367
5	3	ENST00000535838,ENST00000541719,ENST00000543937
3	3	ENST00000535883,ENST00000642478,ENST00000645358
12	3	ENST00000536377,ENST00000540587,ENST00000543304
6	3	ENST00000536491,ENST00000536784,ENST00000538739
1	3	ENST00000536548,ENST00000537162,ENST00000626926
2	3	ENST00000536667,ENST00000539833,ENST00000539851
18	3	ENST00000536784,ENST00000541505,ENST00000681951
6	3	ENST00000537644,ENST00000538919,ENST00000539395
4	3	ENST00000537837,ENST00000541999,ENST00000544490
1	3	ENST00000537841,ENST00000542729,ENST00000542822
1	3	ENST00000538013,ENST00000544620,ENST00000621995
1	3	ENST00000538328,ENST00000679753,ENST00000680955
357	3	ENST00000538426,ENST00000541478,ENST00000543004
1	3	ENST00000539061,ENST00000651255,ENST00000680718
1	3	ENST00000539148,ENST00000544683,ENST00000642288
1	3	ENST00000540163,ENST00000541475,ENST00000544313
11	3	ENST00000540438,ENST00000544967,ENST00000545540
13	3	ENST00000541425,ENST00000679908,ENST00000680002
3	3	ENST00000542447,ENST00000545380,ENST00000612235
60	3	ENST00000542946,ENST00000689076,ENST00000689882
96	3	ENST00000543287,ENST00000617285,ENST00000652093
2	3	ENST00000601538,ENST00000645599,ENST00000656230
33	3	ENST00000612687,ENST00000614711,ENST00000617285
57	3	ENST00000612687,ENST00000617285,ENST00000621959
207	3	ENST00000612687,ENST00000617285,ENST00000652093
1	3	ENST00000614444,ENST00000616540,ENST00000619129
24	3	ENST00000635811,ENST00000637342,ENST00000637504
4	3	ENST00000638487,ENST00000638790,ENST00000639457
4	3	ENST00000638790,ENST00000639189,ENST00000639596
2	3	ENST00000638917,ENST00000640081,ENST00000640961
1	3	ENST00000638984,ENST00000639097,ENST00000640954
2	3	ENST00000640813,ENST00000648026,ENST00000649868
1	3	ENST00000641423,ENST00000641900,ENST00000641938
1	3	ENST00000641521,ENST00000641585,ENST00000641722
1	3	ENST00000641541,ENST00000641593,ENST00000641931
197	3	ENST00000641568,ENST00000686237,ENST00000686937
468	3	ENST00000642928,ENST00000651785,ENST00000652678
3	3	ENST00000643839,ENST00000680859,ENST00000681200
2	3	ENST00000645439,ENST00000646638,ENST00000680171
1	3	ENST00000645439,ENST00000679708,ENST00000680171
9	3	ENST00000645439,ENST00000680171,ENST00000680979
2	3	ENST00000673781,ENST00000674060,ENST00000674116
3	3	ENST00000676612,ENST00000677796,ENST00000678520
4	3	ENST00000676921,ENST00000678950,ENST00000679022
13	3	ENST00000677116,ENST00000678480,ENST00000679072
1	3	ENST00000679573,ENST00000681882,ENST00000681951
14	3	ENST00000679982,ENST00000680299,ENST00000680855
2	3	ENST00000680063,ENST00000680499,ENST00000680580
2	3	ENST00000680209,ENST00000680619,ENST00000680696
3	3	ENST00000680261,ENST00000680344,ENST00000681833
1	3	ENST00000680299,ENST00000680588,ENST00000681702
49	3	ENST00000682621,ENST00000683201,ENST00000683769
3	3	ENST00000686079,ENST00000687256,ENST00000688206
40	3	ENST00000688882,ENST00000689460,ENST00000690793
146	4	ENST00000000442,ENST00000405666,ENST00000406310,ENST00000677967
1	4	ENST00000000442,ENST00000406310,ENST00000468670,ENST00000677967
6	4	ENST00000000442,ENST00000406310,ENST00000539594,ENST00000677967
6	4	ENST00000003302,ENST00000537642,ENST00000537706,ENST00000545540
6	4	ENST00000003302,ENST00000537706,ENST00000540438,ENST00000540925
8	4	ENST00000003302,ENST00000537706,ENST00000540438,ENST00000545540
22	4	ENST00000003302,ENST00000537706,ENST00000544967,ENST00000545540
32	4	ENST00000003302,ENST00000538475,ENST00000544967,ENST00000545540
215	4	ENST00000003302,ENST00000540438,ENST00000544967,ENST00000545540
11	4	ENST00000005286,ENST00000453848,ENST00000535480,ENST00000540112
147	4	ENST00000054950,ENST00000527337,ENST00000528630,ENST00000532942
168	4	ENST00000054950,ENST00000530348,ENST00000532721,ENST00000532942
75	4	ENST00000064780,ENST00000393580,ENST00000544075,ENST00000545687
5	4	ENST00000227135,ENST00000532692,ENST00000545756,ENST00000618733
42	4	ENST00000227155,ENST00000526958,ENST00000527737,ENST00000530601
579	4	ENST00000227157,ENST00000396222,ENST00000422447,ENST00000540430
2	4	ENST00000227214,ENST00000354190,ENST00000398492,ENST00000398494
6	4	ENST00000227322,ENST00000425791,ENST00000429220,ENST00000444935
46	4	ENST00000227322,ENST00000425791,ENST00000431973,ENST00000444935
25	4	ENST00000227322,ENST00000429220,ENST00000431973,ENST00000444935
163	4	ENST00000227322,ENST00000429220,ENST00000444935,ENST00000449430
28	4	ENST00000227474,ENST00000529801,ENST00000530811,ENST00000534158
3	4	ENST00000227474,ENST00000530811,ENST00000534158,ENST00000613398
3	4	ENST00000227495,ENST00000530591,ENST00000534457,ENST00000677503
86	4	ENST00000227503,ENST00000334944,ENST00000377394,ENST00000448404
15	4	ENST00000227618,ENST00000538393,ENST00000543587,ENST00000545680
16	4	ENST00000227618,ENST00000538919,ENST00000545333,ENST00000545680
38	4	ENST00000227758,ENST00000527465,ENST00000532672,ENST00000613397
109	4	ENST00000227758,ENST00000530675,ENST00000532672,ENST00000613397
3	4	ENST00000227758,ENST00000530675,ENST00000532832,ENST00000533742
11	4	ENST00000227758,ENST00000532672,ENST00000532832,ENST00000613397
130	4	ENST00000227868,ENST00000430469,ENST00000448838,ENST00000526309
19	4	ENST00000227868,ENST00000430469,ENST00000448838,ENST00000533550
89	4	ENST00000227868,ENST00000448838,ENST00000533262,ENST00000533550
2	4	ENST00000228027,ENST00000376262,ENST00000603276,ENST00000604733
8	4	ENST00000228027,ENST00000603276,ENST00000604935,ENST00000605099
115	4	ENST00000228136,ENST00000524439,ENST00000525684,ENST00000528634
117	4	ENST00000239614,ENST00000374979,ENST00000526629,ENST00000674284
33	4	ENST00000241041,ENST00000378750,ENST00000525192,ENST00000532681
1	4	ENST00000241041,ENST00000378750,ENST00000525229,ENST00000529030
4	4	ENST00000241041,ENST00000378750,ENST00000529030,ENST00000533151
26	4	ENST00000241041,ENST00000378750,ENST00000532681,ENST00000533151
397	4	ENST00000246747,ENST00000301886,ENST00000529384,ENST00000533729
21	4	ENST00000249923,ENST00000439561,ENST00000529866,ENST00000534234
4	4	ENST00000250018,ENST00000417164,ENST00000528338,ENST00000682019
42	4	ENST00000250024,ENST00000527884,ENST00000532666,ENST00000620009
1	4	ENST00000250699,ENST00000526599,ENST00000533346,ENST00000534359
1	4	ENST00000251968,ENST00000536719,ENST00000580814,ENST00000584526
690	4	ENST00000252268,ENST00000415073,ENST00000528416,ENST00000531989
99	4	ENST00000252268,ENST00000415073,ENST00000528416,ENST00000532102
4	4	ENST00000252898,ENST00000381905,ENST00000381906,ENST00000381911
5	4	ENST00000253925,ENST00000389547,ENST00000532504,ENST00000644155
48	4	ENST00000254584,ENST00000396777,ENST00000531037,ENST00000614314
13	4	ENST00000254605,ENST00000530762,ENST00000533907,ENST00000534343
5	4	ENST00000255078,ENST00000674955,ENST00000675615,ENST00000676228
9	4	ENST00000255078,ENST00000675118,ENST00000675615,ENST00000675916
8	4	ENST00000255078,ENST00000675118,ENST00000675615,ENST00000676228
2	4	ENST00000256190,ENST00000689940,ENST00000690944,ENST00000692716
2	4	ENST00000256194,ENST00000527546,ENST00000646065,ENST00000683283
1	4	ENST00000256194,ENST00000527546,ENST00000675839,ENST00000683283
1	4	ENST00000256194,ENST00000646065,ENST00000675839,ENST00000683283
152	4	ENST00000256196,ENST00000414023,ENST00000529237,ENST00000537760
1	4	ENST00000256733,ENST00000414546,ENST00000524555,ENST00000528349
2	4	ENST00000256737,ENST00000525139,ENST00000531568,ENST00000672621
92	4	ENST00000256996,ENST00000378601,ENST00000378603,ENST00000614825
101	4	ENST00000256996,ENST00000378601,ENST00000378603,ENST00000616278
36	4	ENST00000256997,ENST00000529444,ENST00000672073,ENST00000672636
776	4	ENST00000257261,ENST00000278840,ENST00000521849,ENST00000522056
25	4	ENST00000257262,ENST00000535297,ENST00000537328,ENST00000545210
120	4	ENST00000257829,ENST00000527971,ENST00000529523,ENST00000531159
2	4	ENST00000260047,ENST00000393389,ENST00000526731,ENST00000533342
3	4	ENST00000260047,ENST00000393392,ENST00000531895,ENST00000533342
1	4	ENST00000260054,ENST00000455220,ENST00000525503,ENST00000529689
12	4	ENST00000260058,ENST00000490820,ENST00000525639,ENST00000527529
43	4	ENST00000260058,ENST00000490820,ENST00000527447,ENST00000682836
7	4	ENST00000260058,ENST00000525639,ENST00000527529,ENST00000682836
7	4	ENST00000260061,ENST00000404995,ENST00000407242,ENST00000421973
8	4	ENST00000260197,ENST00000525532,ENST00000527934,ENST00000532694
671	4	ENST00000260197,ENST00000525532,ENST00000532694,ENST00000534286
18	4	ENST00000260247,ENST00000527260,ENST00000529281,ENST00000531571
6	4	ENST00000260247,ENST00000527260,ENST00000531543,ENST00000531571
4	4	ENST00000260247,ENST00000527779,ENST00000529281,ENST00000529294
15	4	ENST00000260247,ENST00000529281,ENST00000531543,ENST00000531571
20	4	ENST00000260257,ENST00000528274,ENST00000531487,ENST00000542429
7	4	ENST00000260257,ENST00000528274,ENST00000531487,ENST00000622211
3	4	ENST00000260264,ENST00000532663,ENST00000533620,ENST00000543440
14	4	ENST00000260276,ENST00000528125,ENST00000529270,ENST00000530214
32	4	ENST00000260276,ENST00000528125,ENST00000529270,ENST00000530799
11	4	ENST00000260282,ENST00000526014,ENST00000527717,ENST00000539526
128	4	ENST00000260287,ENST00000292079,ENST00000528014,ENST00000532984
84	4	ENST00000260287,ENST00000292079,ENST00000528014,ENST00000614497
39	4	ENST00000260318,ENST00000389568,ENST00000417449,ENST00000428149
8	4	ENST00000260318,ENST00000393100,ENST00000428149,ENST00000429370
162	4	ENST00000263309,ENST00000525064,ENST00000525428,ENST00000526009
124	4	ENST00000263309,ENST00000525428,ENST00000527133,ENST00000528364
64	4	ENST00000263360,ENST00000327320,ENST00000672825,ENST00000673233
1	4	ENST00000263360,ENST00000351625,ENST00000672825,ENST00000673233
37	4	ENST00000263360,ENST00000528180,ENST00000672825,ENST00000673233
3	4	ENST00000263398,ENST00000352818,ENST00000425428,ENST00000442151
8	4	ENST00000263398,ENST00000415148,ENST00000428726,ENST00000526025
460	4	ENST00000263398,ENST00000425428,ENST00000428726,ENST00000433892
8	4	ENST00000263398,ENST00000425428,ENST00000442151,ENST00000525688
332	4	ENST00000263464,ENST00000526421,ENST00000532808,ENST00000615299
19	4	ENST00000263468,ENST00000532529,ENST00000670091,ENST00000670318
79	4	ENST00000263574,ENST00000278756,ENST00000338167,ENST00000650012
1	4	ENST00000263576,ENST00000525943,ENST00000526875,ENST00000530414
2	4	ENST00000263576,ENST00000525943,ENST00000530414,ENST00000637851
30	4	ENST00000263593,ENST00000284290,ENST00000441174,ENST00000529543
131	4	ENST00000263645,ENST00000481687,ENST00000492627,ENST00000526072
207	4	ENST00000263646,ENST00000317204,ENST00000525159,ENST00000527886
426	4	ENST00000263672,ENST00000526361,ENST00000530257,ENST00000532972
